[03-Feb-2020 13:27:01 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[03-Feb-2020 13:40:35 UTC] PHP Notice:  Undefined index: qruser in /var/www/html/Logout/index.php on line 20
[03-Feb-2020 16:34:43 UTC] PHP Notice:  Undefined index: qruser in /var/www/html/Logout/index.php on line 20
[03-Feb-2020 18:54:08 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[03-Feb-2020 18:54:16 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[03-Feb-2020 18:58:54 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[03-Feb-2020 19:46:27 UTC] PHP Notice:  Undefined index: qruser in /var/www/html/Logout/index.php on line 20
[03-Feb-2020 19:48:55 UTC] PHP Notice:  Undefined index: qruser in /var/www/html/Logout/index.php on line 20
[04-Feb-2020 10:16:49 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[04-Feb-2020 10:39:50 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[04-Feb-2020 11:09:58 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[04-Feb-2020 11:32:18 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[04-Feb-2020 11:32:31 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 11:42:54 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[04-Feb-2020 11:43:03 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 12:10:13 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[04-Feb-2020 12:15:45 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[04-Feb-2020 12:18:08 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[04-Feb-2020 12:18:41 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[04-Feb-2020 12:40:45 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 13:10:43 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[04-Feb-2020 14:40:55 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[04-Feb-2020 16:11:35 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[04-Feb-2020 16:15:30 UTC] PHP Notice:  Undefined index: qruser in /var/www/html/Logout/index.php on line 20
[04-Feb-2020 16:17:08 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 18:24:12 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[04-Feb-2020 18:24:29 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 18:24:42 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 18:24:44 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 18:24:45 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 18:24:45 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 18:24:46 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 18:24:47 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 18:24:48 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 18:24:48 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 18:24:49 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 18:24:54 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 18:24:55 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 18:24:55 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 18:24:56 UTC] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 18:38:14 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[04-Feb-2020 18:38:48 UTC] PHP Warning:  file_get_contents(../../log.json): failed to open stream: No such file or directory in /var/www/html/logger.php on line 10
[04-Feb-2020 18:38:48 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
[04-Feb-2020 18:41:21 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[04-Feb-2020 18:41:33 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 18
